1000000, 0.118085, 0.111416, 0.126688, 0.111598, 0.133641, 0.210352, 0.228659, 0.140852, 0.130216, 0.163582
1500000, 0.18827, 0.190049, 0.199615, 0.204692, 0.254269, 0.220439, 0.183643, 0.189081, 0.318304, 0.329516
2000000, 0.288095, 0.316754, 0.329396, 0.296252, 0.569712, 0.293034, 0.316097, 0.356866, 0.332949, 0.271072
2500000, 0.4773, 0.413424, 0.373196, 0.422119, 0.414676, 0.362682, 0.379663, 0.386859, 0.361528, 0.508773
3000000, 0.470915, 0.562836, 0.510873, 0.50243, 0.677526, 0.482303, 0.535129, 0.899266, 0.633703, 0.451123
3500000, 0.639429, 0.736862, 0.636925, 0.673476, 0.640023, 0.593095, 0.597975, 0.661833, 0.657645, 0.611875
4000000, 0.707818, 0.724498, 0.734534, 0.809604, 0.692652, 0.838225, 0.791288, 0.855348, 0.717383, 0.686537
4500000, 0.838408, 1.03184, 0.961472, 0.809397, 0.939501, 0.948586, 0.841863, 0.876591, 0.852268, 0.976606
5000000, 1.03586, 1.1203, 0.919758, 1.0311, 1.02313, 0.975589, 1.07022, 1.11751, 1.11389, 1.23355
5500000, 1.76019, 1.74906, 1.75349, 1.61116, 1.55111, 1.62539, 1.53736, 1.84166, 1.58135, 1.49265
