1000000, 0.0707079, 0.0735672, 0.142317, 0.126193, 0.0776325, 0.0852216, 0.0875118, 0.090001, 0.0944711, 0.109205
1500000, 0.0997588, 0.11203, 0.129602, 0.110569, 0.140807, 0.111643, 0.152277, 0.0974817, 0.0984022, 0.140446
2000000, 0.134668, 0.132494, 0.156126, 0.193345, 0.132921, 0.146277, 0.151024, 0.194622, 0.196729, 0.140423
2500000, 0.234682, 0.171831, 0.19228, 0.173695, 0.16868, 0.189251, 0.191259, 0.175642, 0.232109, 0.241857
3000000, 0.213263, 0.203902, 0.220156, 0.2058, 0.215228, 0.253884, 0.325687, 0.272763, 0.238797, 0.267866
3500000, 0.242676, 0.294606, 0.265191, 0.326778, 0.285203, 0.313853, 0.244552, 0.307535, 0.244052, 0.330506
4000000, 0.292793, 0.273324, 0.278182, 0.28865, 0.487077, 0.38891, 0.288159, 0.36646, 0.34129, 0.345893
4500000, 0.329173, 0.39903, 0.329099, 0.407344, 0.361962, 0.321283, 0.311555, 0.364492, 0.415951, 0.321153
5000000, 0.351873, 0.336015, 0.338895, 0.344649, 0.542232, 0.354342, 0.488813, 0.400441, 0.360393, 0.347433
5500000, 0.520546, 0.634946, 0.626649, 0.555527, 0.642965, 0.508808, 0.502876, 0.526792, 0.53918, 0.495638
